test,,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 13-14,Turn 14,Str 0-1 (Start)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3"
,,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1
,,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851
Steering Angle [°],Min,-31.1,-39.2,-57.8,-88.9,-22.3,-21.7,-29.3,-60.9,-6.8,15.3,-18.1,-13.2,-10.1,-93.2,-28.3,-38.2,2.6,-0.9,-1.2,-56.6,-24.0,-27.4,-17.7,-25.1,-3.9,-22.7,-26.8,-145.6,-4.6
Steering Angle [°],Max,3.3,175.6,15.5,320.0,25.6,11.1,-17.1,121.7,142.9,142.9,20.8,-10.1,87.6,98.6,-16.5,3.2,15.5,14.3,64.5,83.2,12.6,-11.2,-11.6,-2.8,28.1,47.2,42.9,50.8,3.0
Steering Angle [°],Range,34.4,214.8,73.3,408.9,47.9,32.8,12.2,182.6,149.7,127.6,38.9,3.1,97.7,191.8,11.8,41.4,12.9,15.2,65.7,139.8,36.6,16.3,6.1,22.3,32.0,69.9,69.6,196.5,7.6
Steering Angle [°],Avg,-6.1,6.2,-8.9,201.0,10.4,-7.0,-25.0,-19.6,12.5,77.3,3.1,-11.6,12.7,21.8,-23.6,-22.3,7.8,6.0,22.2,34.5,-2.4,-16.5,-15.0,-11.7,10.4,23.5,1.9,8.6,-0.8
Steering Angle [°],Start,-2.2,-27.2,-22.7,-55.7,-22.3,10.9,-21.7,-23.5,-1.6,142.9,15.3,-12.8,-10.1,87.6,-16.5,-20.6,3.2,14.3,1.9,64.5,12.6,-12.6,-17.1,-11.6,-3.9,28.1,2.5,42.9,-0.4
Steering Angle [°],End,-27.2,-22.7,-55.7,-22.3,10.9,-21.7,-23.5,-1.6,142.9,15.3,-12.8,-10.1,87.6,-16.5,-20.6,3.2,14.3,1.9,64.5,12.6,-12.6,-17.1,-11.6,-3.9,28.1,2.5,42.9,-0.4,-1.6
