file,driver,car,track,lap,lap_time_s,section,section_time_s,Steering Angle [°] Min,Steering Angle [°] Max,Steering Angle [°] Range,Steering Angle [°] Avg,Steering Angle [°] Start,Steering Angle [°] End,Steering Angle [°] Std Dev,Ground Speed [km/h] Min,Ground Speed [km/h] Max,Ground Speed [km/h] Range,Ground Speed [km/h] Avg,Ground Speed [km/h] Start,Ground Speed [km/h] End,Ground Speed [km/h] Std Dev,Brake Pos [%] Min,Brake Pos [%] Max,Brake Pos [%] Range,Brake Pos [%] Avg,Brake Pos [%] Start,Brake Pos [%] End,Brake Pos [%] Std Dev,Abs Lateral G [G] Min,Abs Lateral G [G] Max,Abs Lateral G [G] Range,Abs Lateral G [G] Avg,Abs Lateral G [G] Start,Abs Lateral G [G] End,Abs Lateral G [G] Std Dev,CG Accel Lateral [G] Min,CG Accel Lateral [G] Max,CG Accel Lateral [G] Range,CG Accel Lateral [G] Avg,CG Accel Lateral [G] Start,CG Accel Lateral [G] End,CG Accel Lateral [G] Std Dev,CG Accel Longitudinal [G] Min,CG Accel Longitudinal [G] Max,CG Accel Longitudinal [G] Range,CG Accel Longitudinal [G] Avg,CG Accel Longitudinal [G] Start,CG Accel Longitudinal [G] End,CG Accel Longitudinal [G] Std Dev,CG Accel Vertical [G] Min,CG Accel Vertical [G] Max,CG Accel Vertical [G] Range,CG Accel Vertical [G] Avg,CG Accel Vertical [G] Start,CG Accel Vertical [G] End,CG Accel Vertical [G] Std Dev
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Str 0-1 (End),7.031,-20.0563,4.292,24.3483,-4.0855,-1.7619,-18.7708,5.3962,178.1187,250.0898,71.9711,231.9512,218.4081,178.1187,15.2218,0.0,100.0,100.0,18.1854,0.0,100.0,37.8527,0.001,2.253,2.252,0.449,0.1662,1.2529,0.5842,-0.3073,2.253,2.5603,0.3952,0.1662,1.2529,0.6218,-1.7163,0.2701,1.9865,-0.1465,0.2153,-1.4626,0.5955,-0.708,0.6962,1.4042,-0.012,0.2467,0.0915,0.2494
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Turn 1,3.992,-38.3672,-11.5786,26.7886,-27.3084,-18.7708,-19.9526,6.4994,132.1868,178.1187,45.9319,146.1164,178.1187,160.5193,11.5115,0.0,100.0,100.0,18.8988,100.0,0.0,37.4894,0.7433,2.0389,1.2956,1.3288,1.2529,1.2913,0.2719,0.7433,2.0389,1.2956,1.3288,1.2529,1.2913,0.2719,-1.5594,0.5862,2.1456,-0.0763,-1.4626,0.3436,0.6553,-0.4287,0.3404,0.769,-0.0337,0.0915,0.122,0.1408
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Str 1-2,6.878,-67.8984,12.2637,80.1621,-8.1495,-19.9526,-67.8984,16.4619,103.3958,201.4814,98.0856,165.7091,160.5193,103.3958,30.8966,0.0,100.0,100.0,23.313,0.0,0.0,39.701,0.0021,1.6015,1.5995,0.6031,1.2913,1.4065,0.4547,-1.4256,1.6015,3.0271,0.152,1.2913,1.4065,0.7394,-1.7434,0.5134,2.2568,-0.221,0.3436,-0.1571,0.7404,-0.8884,0.7138,1.6022,-0.0022,0.122,-0.1578,0.2057
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Turn 2,2.272,-72.5298,35.3685,107.8983,-40.8251,-67.8984,35.3253,32.7091,101.357,124.424,23.0671,108.9407,103.3958,124.424,6.7912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,1.9396,1.9063,1.2173,1.4065,1.0548,0.4337,-1.0548,1.9396,2.9944,1.1044,1.4065,-1.0548,0.6433,-0.1993,0.6542,0.8535,0.2967,-0.1571,0.6112,0.2376,-0.3696,0.504,0.8736,-0.0326,-0.1578,0.0226,0.1615
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Str 2-3,0.663,15.647,35.3253,19.6783,27.0982,35.3253,18.9369,7.6551,124.424,133.5988,9.1747,128.8848,124.424,133.5988,2.5367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233,1.9736,1.0503,1.3654,1.0548,1.428,0.2769,-1.9736,-0.9233,1.0503,-1.3654,-1.0548,-1.428,0.2769,0.0755,0.6365,0.5611,0.4551,0.6112,0.4816,0.1332,-0.5244,0.4825,1.0069,0.0164,0.0226,-0.0689,0.2763
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Turn 3,0.791,-23.0895,28.7068,51.7964,4.555,18.9369,-23.0895,17.2781,133.5988,143.2335,9.6347,137.573,133.5988,143.2335,2.9019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,1.7865,1.7697,1.137,1.428,0.599,0.4872,-1.7865,0.599,2.3856,-1.018,-1.428,0.599,0.6687,-0.1068,0.6157,0.7225,0.4132,0.4816,0.481,0.1839,-0.1737,0.0968,0.2705,-0.0272,-0.0689,-0.0261,0.0693
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Str 3-4,0.782,-33.7642,-14.6405,19.1237,-22.98,-23.0895,-33.7642,5.701,122.4701,144.6686,22.1985,135.7478,143.2335,122.4701,7.3968,0.0,73.3565,73.3565,52.7366,0.0,73.2743,26.8057,0.599,1.4868,0.8877,1.0902,0.599,1.4612,0.2409,0.599,1.4868,0.8877,1.0902,0.599,1.4612,0.2409,-1.1904,0.481,1.6714,-0.7064,0.481,-1.0526,0.559,-0.2779,0.2708,0.5487,-0.0338,-0.0261,0.08,0.1323
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Turn 4,3.819,-64.645,7.1194,71.7643,-40.0748,-33.7642,7.1194,19.143,102.3064,137.3856,35.0793,114.5527,122.4701,137.3856,9.5806,0.0,73.3997,73.3997,4.4386,73.2743,0.0,16.1379,0.0271,1.9154,1.8883,1.2899,1.4612,0.0583,0.3921,-0.0583,1.9154,1.9737,1.2888,1.4612,-0.0583,0.3936,-1.0526,0.6074,1.6601,0.2007,-1.0526,0.5525,0.4104,-0.2725,0.1936,0.4661,-0.0166,0.08,0.1083,0.0899
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Str 4-5,14.959,-4.9921,145.7901,150.7821,10.5086,7.1194,145.7901,21.725,73.4279,235.8946,162.4667,184.3603,137.3856,73.4279,41.2034,0.0,100.0,100.0,19.1831,0.0,13.9204,35.4235,0.0001,1.7952,1.7951,0.5343,0.0583,1.7081,0.4428,-1.7952,0.1247,1.9199,-0.5212,-0.0583,-1.7081,0.4582,-1.9249,0.6843,2.6092,-0.1115,0.5525,-0.4572,0.6507,-0.6839,0.6778,1.3616,0.0033,0.1083,0.1706,0.1827
12092026-202921-AM  Kent Butaya-ford_mustang_gt3-rt_sebring-imsa2026.ld,AM  Kent Butaya,ford_mustang_gt3,rt_sebring-imsa2026,1,124.402,Turn 5,2.375,22.7768,156.9366,134.1598,97.8839,145.7901,22.7768,52.1907,67.0883,89.6154,22.527,73.8098,73.4279,89.6154,6.3647,0.0,13.9204,13.9204,0.4857,13.9204,0.0,2.261,0.6354,1.7081,1.0728,1.2345,1.7081,0.7708,0.331,-1.7081,-0.6354,1.0728,-1.2345,-1.7081,-0.7708,0.331,-0.4572,0.6961,1.1533,0.2071,-0.4572,0.4821,0.3375,-0.3328,0.2081,0.5409,-0.0091,0.1706,-0.0737,0.1071
