name,x,y
Str 0-1 (End),-108.34,0.33
Turn 1,342.44,19.34
Str 1-2,411.06,150.05
Turn 2,364.93,462.12
Str 2-3,303.28,480.64
Turn 3,280.78,493.92
Str 3-4,256.36,512.62
Turn 4,230.34,526.29
Str 4-5,140.04,473.18
Turn 5,-547.08,277.27
Str 5-6,-547.81,320.23
Turn 6,-234.32,565.24
Str 6-7,-185.65,601.67
Turn 7,-1.58,778.85
Str 7-8,54.94,746.23
Turn 8,86.11,717.25
Str 8-9,236.31,712.29
Turn 9,316.00,740.15
Str 9-10,358.20,746.27
Turn 10,436.72,741.87
Str 10-11,472.47,678.26
Turn 11,467.98,313.87
Str 11-12,479.37,265.73
Turn 12,496.98,224.93
Str 12-13,558.98,138.47
Turn 13,627.18,69.26
Str 13-14,626.17,-34.41
Turn 14,588.38,-178.80
Str 0-1 (Start),-339.76,5.48
